source_center,destination_center,route_type,tod_bucket,median_factor,trip_count,median_osrm_dist,median_osrm_time,pct_delayed
IND000000AAL,IND411033AAA,Carting,night,2.08,1,24.2851,25.0,1.0
IND000000AAL,IND411033AAA,Carting,morning,3.3846153846153846,1,24.2898,26.0,1.0
IND000000AAL,IND411033AAA,Carting,afternoon,2.76,10,25.295550000000002,27.5,1.0
IND000000AAL,IND411033AAA,Carting,evening,2.4166666666666665,6,24.881500000000003,27.5,1.0
IND000000AAQ,IND700028AAB,Carting,night,6.071428571428571,2,13.90065,14.0,1.0
IND000000AAS,IND783370AAC,FTL,afternoon,1.7666666666666666,8,42.16135,30.0,1.0
IND000000AAS,IND783370AAC,FTL,evening,2.6666666666666665,1,41.7072,30.0,1.0
IND000000AAZ,IND444203AAA,FTL,night,6.020833333333333,1,67.4982,48.0,1.0
IND000000AAZ,IND444303AAA,FTL,morning,4.0,1,53.7322,40.0,1.0
IND000000ABA,IND683565AAA,Carting,night,1.0476190476190474,6,18.4681,21.0,0.3333333333333333
IND000000ABD,IND562132AAA,FTL,night,1.7081081081081082,11,443.7081,370.0,1.0
IND000000ABD,IND562132AAA,FTL,morning,1.6819407008086251,1,442.8809,371.0,1.0
IND000000ABG,IND501359AAF,Carting,afternoon,7.0,11,32.6832,27.0,1.0
IND000000ACA,IND140406AAA,FTL,evening,1.7567567567567568,2,51.5829,37.0,1.0
IND000000ACA,IND142001AAB,FTL,afternoon,1.7457627118644068,9,76.222,56.0,1.0
IND000000ACA,IND142401AAA,FTL,night,1.6842105263157894,1,27.484,19.0,1.0
IND000000ACA,IND142401AAA,FTL,evening,2.0,11,27.7383,20.0,0.9090909090909091
IND000000ACA,IND143001AAA,FTL,afternoon,1.7027027027027026,1,155.23260000000002,111.0,1.0
IND000000ACA,IND144001AAB,FTL,afternoon,1.6041666666666667,17,69.4616,49.0,1.0
IND000000ACA,IND144514AAA,FTL,evening,1.8174603174603172,12,85.45885,63.0,0.8333333333333334
IND000000ACA,IND147301AAA,FTL,evening,1.7037037037037035,3,37.1418,27.0,1.0
IND000000ACA,IND152026AAA,FTL,afternoon,1.5299145299145298,1,154.5822,117.0,1.0
